27/02/2017; Carnaval; americana-sp
28/02/2017; Carnaval; americana-sp
01/03/2017; Carnaval; americana-sp
15/06/2017; Corpus Christi; americana-sp
01/01/2018;  Ano Novo; americana-sp
30/03/2018;  SextaFeira Santa; americana-sp
30/03/2018;  SextaFeira Santa; americana-sp
21/04/2018;  Dia de Tiradentes; americana-sp
01/05/2018;  Dia do Trabalho; americana-sp
31/05/2018;  Corpus Christi; americana-sp
13/06/2018;  Dia de Santo Antônio; americana-sp
09/07/2018;  Revolução Constitucionalista; americana-sp
07/09/2018;  Independência do Brasil; americana-sp
12/10/2018;  Nossa Senhora Aparecida; americana-sp
02/11/2018;  Dia de Finados; americana-sp
15/11/2018;  Proclamação da República; americana-sp
18/11/2018;  Dia da Consciência Negra; americana-sp
25/12/2018;  Natal; americana-sp
12/02/2018; Carnaval; americana-sp
13/02/2018; Carnaval; americana-sp
14/02/2018; Carnaval; americana-sp
31/05/2018; Corpus Christi; americana-sp
01/01/2019;  Ano Novo; americana-sp
19/04/2019;  SextaFeira Santa; americana-sp
19/04/2019;  SextaFeira Santa; americana-sp
21/04/2019;  Dia de Tiradentes; americana-sp
01/05/2019;  Dia do Trabalho; americana-sp
13/06/2019;  Dia de Santo Antônio; americana-sp
20/06/2019;  Corpus Christi; americana-sp
09/07/2019;  Revolução Constitucionalista; americana-sp
07/09/2019;  Independência do Brasil; americana-sp
12/10/2019;  Nossa Senhora Aparecida; americana-sp
02/11/2019;  Dia de Finados; americana-sp
15/11/2019;  Proclamação da República; americana-sp
17/11/2019;  Dia da Consciência Negra; americana-sp
25/12/2019;  Natal; americana-sp
04/03/2019; Carnaval; americana-sp
05/03/2019; Carnaval; americana-sp
06/03/2019; Carnaval; americana-sp
20/06/2019; Corpus Christi; americana-sp
01/01/2020;  Ano Novo; americana-sp
10/04/2020;  SextaFeira Santa; americana-sp
10/04/2020;  SextaFeira Santa; americana-sp
21/04/2020;  Dia de Tiradentes; americana-sp
01/05/2020;  Dia do Trabalho; americana-sp
11/06/2020;  Corpus Christi; americana-sp
13/06/2020;  Dia de Santo Antônio; americana-sp
09/07/2020;  Revolução Constitucionalista; americana-sp
07/09/2020;  Independência do Brasil; americana-sp
12/10/2020;  Nossa Senhora Aparecida; americana-sp
02/11/2020;  Dia de Finados; americana-sp
15/11/2020;  Proclamação da República; americana-sp
15/11/2020;  Dia da Consciência Negra; americana-sp
25/12/2020;  Natal; americana-sp
24/02/2020; Carnaval; americana-sp
25/02/2020; Carnaval; americana-sp
26/02/2020; Carnaval; americana-sp
11/06/2020; Corpus Christi; americana-sp
01/01/2021;  Ano Novo; americana-sp
02/04/2021;  SextaFeira Santa; americana-sp
02/04/2021;  SextaFeira Santa; americana-sp
21/04/2021;  Dia de Tiradentes; americana-sp
01/05/2021;  Dia do Trabalho; americana-sp
03/06/2021;  Corpus Christi; americana-sp
13/06/2021;  Dia de Santo Antônio; americana-sp
09/07/2021;  Revolução Constitucionalista; americana-sp
07/09/2021;  Independência do Brasil; americana-sp
12/10/2021;  Nossa Senhora Aparecida; americana-sp
02/11/2021;  Dia de Finados; americana-sp
15/11/2021;  Proclamação da República; americana-sp
21/11/2021;  Dia da Consciência Negra; americana-sp
25/12/2021;  Natal; americana-sp
15/02/2021; Carnaval; americana-sp
16/02/2021; Carnaval; americana-sp
17/02/2021; Carnaval; americana-sp
03/06/2021; Corpus Christi; americana-sp
01/01/2022;  Ano Novo; americana-sp
15/04/2022;  SextaFeira Santa; americana-sp
15/04/2022;  SextaFeira Santa; americana-sp
21/04/2022;  Dia de Tiradentes; americana-sp
01/05/2022;  Dia do Trabalho; americana-sp
13/06/2022;  Dia de Santo Antônio; americana-sp
16/06/2022;  Corpus Christi; americana-sp
09/07/2022;  Revolução Constitucionalista; americana-sp
07/09/2022;  Independência do Brasil; americana-sp
12/10/2022;  Nossa Senhora Aparecida; americana-sp
02/11/2022;  Dia de Finados; americana-sp
15/11/2022;  Proclamação da República; americana-sp
20/11/2022;  Dia da Consciência Negra; americana-sp
25/12/2022;  Natal; americana-sp
28/02/2022; Carnaval; americana-sp
01/03/2022; Carnaval; americana-sp
02/03/2022; Carnaval; americana-sp
16/06/2022; Corpus Christi; americana-sp
01/01/2023;  Ano Novo; americana-sp
07/04/2023;  SextaFeira Santa; americana-sp
07/04/2023;  SextaFeira Santa; americana-sp
21/04/2023;  Dia de Tiradentes; americana-sp
01/05/2023;  Dia do Trabalho; americana-sp
08/06/2023;  Corpus Christi; americana-sp
13/06/2023;  Dia de Santo Antônio; americana-sp
09/07/2023;  Revolução Constitucionalista; americana-sp
07/09/2023;  Independência do Brasil; americana-sp
12/10/2023;  Nossa Senhora Aparecida; americana-sp
02/11/2023;  Dia de Finados; americana-sp
15/11/2023;  Proclamação da República; americana-sp
19/11/2023;  Dia da Consciência Negra; americana-sp
25/12/2023;  Natal; americana-sp
20/02/2023; Carnaval; americana-sp
21/02/2023; Carnaval; americana-sp
22/02/2023; Carnaval; americana-sp
08/06/2023; Corpus Christi; americana-sp
01/01/2024;  Ano Novo; americana-sp
29/03/2024;  SextaFeira Santa; americana-sp
29/03/2024;  SextaFeira Santa; americana-sp
21/04/2024;  Dia de Tiradentes; americana-sp
01/05/2024;  Dia do Trabalho; americana-sp
30/05/2024;  Corpus Christi; americana-sp
13/06/2024;  Dia de Santo Antônio; americana-sp
09/07/2024;  Revolução Constitucionalista; americana-sp
07/09/2024;  Independência do Brasil; americana-sp
12/10/2024;  Nossa Senhora Aparecida; americana-sp
02/11/2024;  Dia de Finados; americana-sp
15/11/2024;  Proclamação da República; americana-sp
17/11/2024;  Dia da Consciência Negra; americana-sp
25/12/2024;  Natal; americana-sp
12/02/2024; Carnaval; americana-sp
13/02/2024; Carnaval; americana-sp
14/02/2024; Carnaval; americana-sp
30/05/2024; Corpus Christi; americana-sp
01/01/2025;  Ano Novo; americana-sp
18/04/2025;  SextaFeira Santa; americana-sp
18/04/2025;  SextaFeira Santa; americana-sp
21/04/2025;  Dia de Tiradentes; americana-sp
01/05/2025;  Dia do Trabalho; americana-sp
13/06/2025;  Dia de Santo Antônio; americana-sp
19/06/2025;  Corpus Christi; americana-sp
09/07/2025;  Revolução Constitucionalista; americana-sp
07/09/2025;  Independência do Brasil; americana-sp
12/10/2025;  Nossa Senhora Aparecida; americana-sp
02/11/2025;  Dia de Finados; americana-sp
15/11/2025;  Proclamação da República; americana-sp
16/11/2025;  Dia da Consciência Negra; americana-sp
25/12/2025;  Natal; americana-sp
03/03/2025; Carnaval; americana-sp
04/03/2025; Carnaval; americana-sp
05/03/2025; Carnaval; americana-sp
19/06/2025; Corpus Christi; americana-sp
01/01/2010;  Ano Novo; balneario_camboriu-sc
16/02/2010;  Carnaval; balneario_camboriu-sc
02/04/2010;  SextaFeira Santa; balneario_camboriu-sc
02/04/2010;  SextaFeira Santa; balneario_camboriu-sc
21/04/2010;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2010;  Dia do Trabalho; balneario_camboriu-sc
03/06/2010;  Corpus Christi; balneario_camboriu-sc
20/07/2010;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2010;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2010;  Independência do Brasil; balneario_camboriu-sc
12/10/2010;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2010;  Dia de Finados; balneario_camboriu-sc
15/11/2010;  Proclamação da República; balneario_camboriu-sc
25/12/2010;  Natal; balneario_camboriu-sc
15/02/2010; Carnaval; balneario_camboriu-sc
16/02/2010; Carnaval; balneario_camboriu-sc
17/02/2010; Carnaval; balneario_camboriu-sc
